method,repeat_index,seed,selection_rule,stochastic_eval,mse,mae,rmse,ntae,clea,crps,picp_90,mpiw_90,time_per_call_seconds
CNN-BiLSTM,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,False,5.114248517133396,1.207800162660796,2.2614704325136326,1.6723104510070226,-5.273740005809625,1.2078001628498038,0.0,0.0,0.0
CVAE,5,20260515,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,True,1.3722192642775002,0.7945338115696683,1.1714176301718786,1.1212805521645222,-4.011598319834457,0.6275964686150969,0.384598295629748,1.1799908994631856,0.0
Deterministic-Physics,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,False,2.5817109740708526,0.9194483405696338,1.606770355113279,1.2972044107668377,-4.432837530920447,0.9194483419589886,0.0,0.0,0.0
GFRC,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,True,2.694762945175171,0.7472405433654785,1.6415733098983765,0.9869953393936157,-0.5959104299545288,0.6684281826019287,0.4433797299861908,0.7576895952224731,0.11178931117294127
Prophet,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,False,40.81661031421081,2.48230221121827,6.3887878595404,3.4914420949797855,-11.14134464807272,2.482302209484511,0.0,0.0,0.0
TFT,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,False,3.4262737179739466,1.0768388565277776,1.8510196427844698,1.5045058420610615,-4.570038828800285,1.0768388544278387,7.008101365178146e-08,0.0,0.0
TimeXer,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,False,3.0097675204627428,1.023367615446686,1.734868156507215,1.4447276308585677,-4.714279872613706,1.0233676164207983,0.0,0.0,0.0
cINN,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,True,112.96811424251878,1.8462926359311373,10.62864592704634,2.5898965570706856,-13.459264213262049,1.0513264060577179,0.8111169511955821,5.971515608667154,0.0
