method,corruption,repeat_index,seed,selection_rule,mse,mae,rmse,ntae,clea,crps,picp_90,mpiw_90,time_per_call_seconds
Deterministic-Physics,clean,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.581711047689488,0.9194484583206621,1.606770378022164,1.2972046168741003,-4.432845631966201,0.9194484588991813,0.0,0.0,0.0031349810331018383
Deterministic-Physics,missing_0.20,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.7798438803498406,0.9264571124192787,1.667286382224074,1.3083044412997364,-4.383858102566476,0.9264571128357911,0.0,0.0,0.002889218317898905
Deterministic-Physics,missing_0.40,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.8349874298727573,0.9231274644587929,1.6837420912576715,1.3033927923853585,-4.253842036961954,0.9231274631362726,0.0,0.0,0.0028864407634836583
Deterministic-Physics,missing_0.60,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.8997675840511925,0.9231210967542893,1.7028703955531062,1.3034689163411395,-4.145813050378402,0.9231210975929282,0.0,0.0,0.0028837796978278614
Deterministic-Physics,noise_0.05,3,20260513,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.5620281019319138,0.917442743032423,1.6006336563785961,1.2943625432936745,-4.420431260893297,0.9174427427749766,0.0,0.0,0.003124902068260109
Deterministic-Physics,noise_0.10,4,20260514,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.5216149528648377,0.9134206710380257,1.5879593675106545,1.2886609015252604,-4.3958806566476545,0.9134206718055526,0.0,0.0,0.0032368459234741855
Deterministic-Physics,noise_0.20,5,20260515,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.4639864943914467,0.9079513925646953,1.5697090476873243,1.280909492510588,-4.361212446661168,0.9079513939781104,0.0,0.0,0.003105303214188652
Deterministic-Physics,scale_0.80,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.8026172397840887,0.9469320163337028,1.6741019203692733,1.3367201268444082,-4.480539037173324,0.9469320148211052,0.0,0.0,0.0028831903425489275
Deterministic-Physics,scale_1.20,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.4803629298239867,0.9180486901753538,1.574916800921238,1.2960912035295613,-4.424853395188295,0.9180486891862037,7.008101365178146e-08,0.0,0.0028762667136113277
Deterministic-Physics,wrong_cue,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.7394807917892696,0.983505646723245,1.6551376957187791,1.3902973822016989,-3.6042240021419136,0.9835056471488469,0.0,0.0,0.0028766489330692533
GFRC,clean,2,20260512,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.652820380994821,0.9504394705778842,1.6287481023764299,1.1876541446806712,-3.609895864139175,0.7477609760577533,0.5301358170044571,1.940453560494215,0.2318771005855159
