method,repeat_index,seed,selection_rule,stochastic_eval,mse,mae,rmse,ntae,clea,crps,picp_90,mpiw_90,time_per_call_seconds
Deterministic + physics,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,False,2.134730799878034,0.8502920653952838,1.4610717983309491,1.2008632595152293,-3.6858646973365623,0.8502920653415489,0.0,0.0,0.0
Deterministic backbone,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,False,1.9471119774037733,0.8444923878236371,1.3953895432472516,1.1925444416409126,-3.7954705651025877,0.8444923867990648,0.0,0.0,0.0
GFRC,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,True,1.896112084388733,0.7083889245986938,1.3769938945770264,0.916329562664032,-1.670661211013794,0.6028004884719849,0.3745417296886444,0.8271350860595703,0.11496360009781495
w/o cue,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,True,6.315088272094727,1.241105318069458,2.512983798980713,1.7401447296142578,-6.4521379470825195,0.9462438821792603,0.3138684034347534,1.4524109363555908,0.11478028948357041
w/o physics,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,True,1.5427796840667725,0.7267937064170837,1.2420867681503296,1.024121880531311,-2.5477294921875,0.6296210289001465,0.25852808356285095,0.5298781991004944,0.11568908535584968
